Code,Name,Market,Marcap_억원,Stocks
006730,서부T&D,KOSDAQ,7480,64926923
171090,선익시스템,KOSDAQ,7456,10102626
009240,한샘,KOSPI,7437,23533928
005250,녹십자홀딩스,KOSPI,7435,47028210
044490,태웅,KOSDAQ,7433,20007381
484870,엠앤씨솔루션,KOSPI,7424,9153900
082270,젬백스,KOSDAQ,7322,44269203
365340,성일하이텍,KOSDAQ,7315,12272701
225570,넥슨게임즈,KOSDAQ,7251,65860174
178920,PI첨단소재,KOSPI,7224,29366322
017900,광전자,KOSPI,7214,57943763
002960,한국쉘석유,KOSPI,7202,1300000
036810,에프에스티,KOSDAQ,7123,21649789
348370,엔켐,KOSDAQ,7088,21910993
114090,GKL,KOSPI,7082,61855670
317450,명인제약,KOSPI,7066,14600000
005090,SGC에너지,KOSPI,7046,14409333
069260,TKG휴켐스,KOSPI,7039,40878588
086900,메디톡스,KOSDAQ,7036,7298497
336370,솔루스첨단소재,KOSPI,7029,70217344
003620,KG모빌리티,KOSPI,7012,202374912
077360,덕산하이메탈,KOSDAQ,7011,45437002
383800,LX홀딩스,KOSPI,6980,76280690
092190,서울바이오시스,KOSDAQ,6972,45868383
093050,LF,KOSPI,6930,29240000
033160,엠케이전자,KOSDAQ,6917,24185077
425420,티에프이,KOSDAQ,6890,12347181
174900,앱클론,KOSDAQ,6883,19952129
252990,샘씨엔에스,KOSDAQ,6877,60217889
003030,세아제강지주,KOSPI,6863,4141657
005180,빙그레,KOSPI,6850,9269031
000400,롯데손해보험,KOSPI,6827,310336320
007700,F&F홀딩스,KOSPI,6822,39114367
019210,와이지-원,KOSDAQ,6821,37193728
336570,원텍,KOSDAQ,6736,89580646
348340,뉴로메카,KOSDAQ,6713,12362151
009520,포스코엠텍,KOSDAQ GLOBAL,6679,41642703
060250,NHN KCP,KOSDAQ,6679,40160611
102940,코오롱생명과학,KOSDAQ,6676,13090603
090360,로보스타,KOSDAQ,6669,9750000
001680,대상,KOSPI,6659,34648025
053800,안랩,KOSDAQ,6631,11126506
112040,위메이드,KOSDAQ,6600,33948483
